start_date,AGGREGATED_PROGRAMMABLE_FRANCE_D-1_value,AGGREGATED_NON_PROGRAMMABLE_FRANCE_D-1_value,WIND_D-1_value,WIND_ID_value,WIND_CURRENT_value,SOLAR_D-1_value,SOLAR_ID_value,SOLAR_CURRENT_value
2018-12-31 23:00:00+00:00,57050.0,3344.0,1697.77,,1600.57,0.0,,0.0
2018-12-31 23:30:00+00:00,56361.0,3283.0,,,,,,
2019-01-01 00:00:00+00:00,55561.0,3135.0,1680.34,,1567.24,0.0,,0.0
2019-01-01 00:30:00+00:00,55499.0,3099.0,,,,,,
2019-01-01 01:00:00+00:00,54748.0,3000.0,1674.89,,1656.57,0.0,,0.0
2019-01-01 01:30:00+00:00,53786.0,2976.0,,,,,,
2019-01-01 02:00:00+00:00,52594.0,2937.0,1669.68,,1744.96,0.0,,0.0
2019-01-01 02:30:00+00:00,51688.0,2914.0,,,,,,
2019-01-01 03:00:00+00:00,49273.0,2899.0,1663.74,,1834.57,0.0,,0.0
2019-01-01 03:30:00+00:00,48494.0,2900.0,,,,,,
2019-01-01 04:00:00+00:00,48544.0,2730.0,1687.47,,1873.27,0.0,,0.0
2019-01-01 04:30:00+00:00,47689.0,2718.0,,,,,,
2019-01-01 05:00:00+00:00,47770.0,2706.0,1711.47,,1912.57,0.0,,0.0
2019-01-01 05:30:00+00:00,47837.0,2705.0,,,,,,
2019-01-01 06:00:00+00:00,48203.0,2927.0,1735.76,1769.26,1769.26,0.0,0.0,0.0
2019-01-01 06:30:00+00:00,48303.0,2933.0,,,,,,
2019-01-01 07:00:00+00:00,48738.0,2922.0,1839.79,1810.24,1810.24,0.0,0.0,0.0
2019-01-01 07:30:00+00:00,49544.0,2762.0,,,,,,
2019-01-01 08:00:00+00:00,50599.0,2894.0,1943.27,1841.26,1841.26,151.2,151.5,151.5
2019-01-01 08:30:00+00:00,52011.0,2903.0,,,,,,
2019-01-01 09:00:00+00:00,52378.0,3029.0,2046.82,1871.5,1861.62,924.27,923.27,935.22
2019-01-01 09:30:00+00:00,52277.0,3221.0,,,,,,
2019-01-01 10:00:00+00:00,53674.0,3202.0,2167.4,2099.79,2088.84,1804.29,1800.68,1858.27
2019-01-01 10:30:00+00:00,53861.0,3194.0,,,,,,
2019-01-01 11:00:00+00:00,53828.0,3165.0,2287.68,2327.7,2317.67,2398.42,2386.12,2481.4
2019-01-01 11:30:00+00:00,53829.0,3170.0,,,,,,
2019-01-01 12:00:00+00:00,53511.0,3057.0,2408.16,2554.51,2548.35,2601.6,2569.45,2699.78
2019-01-01 12:30:00+00:00,53314.0,3046.0,,,,,,
2019-01-01 13:00:00+00:00,53241.0,3030.0,2543.41,2649.18,2646.96,2350.21,2334.82,2422.88
2019-01-01 13:30:00+00:00,53238.0,3031.0,,,,,,
2019-01-01 14:00:00+00:00,53224.0,3014.0,2678.61,2745.86,2744.61,1670.69,1658.43,1703.41
2019-01-01 14:30:00+00:00,53210.0,2839.0,,,,,,
2019-01-01 15:00:00+00:00,53085.0,2873.0,2814.24,2842.17,2841.83,657.81,665.43,669.41
2019-01-01 15:30:00+00:00,53204.0,2912.0,,,,,,
2019-01-01 16:00:00+00:00,54827.0,3238.0,2953.31,2961.39,2961.76,38.17,37.89,38.69
2019-01-01 16:30:00+00:00,55095.0,3256.0,,,,,,
2019-01-01 17:00:00+00:00,58643.0,3512.0,3092.82,3080.12,3081.52,0.0,0.0,0.0
2019-01-01 17:30:00+00:00,59980.0,3594.0,,,,,,
2019-01-01 18:00:00+00:00,60069.0,3662.0,3231.72,3198.59,3200.1,0.0,0.0,0.0
2019-01-01 18:30:00+00:00,59635.0,3671.0,,,,,,
2019-01-01 19:00:00+00:00,58809.0,3514.0,3331.81,3243.3,3244.56,0.0,0.0,0.0
2019-01-01 19:30:00+00:00,57864.0,3472.0,,,,,,
2019-01-01 20:00:00+00:00,57345.0,3297.0,3431.78,3287.74,3288.69,0.0,0.0,0.0
2019-01-01 20:30:00+00:00,56427.0,3292.0,,,,,,
2019-01-01 21:00:00+00:00,56933.0,3198.0,3531.65,3331.71,3332.73,0.0,0.0,0.0
2019-01-01 21:30:00+00:00,58029.0,3198.0,,,,,,
2019-01-01 22:00:00+00:00,57110.0,3142.0,3706.6,3534.69,3536.52,0.0,0.0,0.0
2019-01-01 22:30:00+00:00,56816.0,3005.0,,,,,,
2019-01-01 23:00:00+00:00,56318.0,2833.0,3322.94,,3212.99,0.0,,0.0
2019-01-01 23:30:00+00:00,55404.0,2656.0,,,,,,
2019-01-02 00:00:00+00:00,54942.0,2537.0,3569.65,,3430.89,0.0,,0.0
2019-01-02 00:30:00+00:00,54849.0,2523.0,,,,,,
2019-01-02 01:00:00+00:00,54039.0,2499.0,3724.19,,3555.25,0.0,,0.0
2019-01-02 01:30:00+00:00,53731.0,2469.0,,,,,,
2019-01-02 02:00:00+00:00,52895.0,2469.0,3877.56,,3677.56,0.0,,0.0
2019-01-02 02:30:00+00:00,52352.0,2463.0,,,,,,
2019-01-02 03:00:00+00:00,52212.0,2459.0,4030.83,,3796.49,0.0,,0.0
2019-01-02 03:30:00+00:00,52254.0,2461.0,,,,,,
2019-01-02 04:00:00+00:00,53728.0,2465.0,4063.46,,3918.17,0.0,,0.0
