,end_date,start_date,updated_date,value
2015-12-31 23:00:00+00:00,2016-01-01 23:00:00+00:00,2015-12-31 23:00:00+00:00,2015-12-31 09:20:00+00:00,BLUE
2016-01-01 23:00:00+00:00,2016-01-02 23:00:00+00:00,2016-01-01 23:00:00+00:00,2016-01-01 09:20:00+00:00,BLUE
2016-01-02 23:00:00+00:00,2016-01-03 23:00:00+00:00,2016-01-02 23:00:00+00:00,2016-01-02 09:20:00+00:00,BLUE
2016-01-03 23:00:00+00:00,2016-01-04 23:00:00+00:00,2016-01-03 23:00:00+00:00,2016-01-03 09:20:00+00:00,WHITE
2016-01-04 23:00:00+00:00,2016-01-05 23:00:00+00:00,2016-01-04 23:00:00+00:00,2016-01-04 09:20:00+00:00,WHITE
2016-01-05 23:00:00+00:00,2016-01-06 23:00:00+00:00,2016-01-05 23:00:00+00:00,2016-01-05 09:20:00+00:00,WHITE
2016-01-06 23:00:00+00:00,2016-01-07 23:00:00+00:00,2016-01-06 23:00:00+00:00,2016-01-06 09:20:00+00:00,WHITE
2016-01-07 23:00:00+00:00,2016-01-08 23:00:00+00:00,2016-01-07 23:00:00+00:00,2016-01-07 09:20:00+00:00,RED
2016-01-08 23:00:00+00:00,2016-01-09 23:00:00+00:00,2016-01-08 23:00:00+00:00,2016-01-08 09:20:00+00:00,BLUE
2016-01-09 23:00:00+00:00,2016-01-10 23:00:00+00:00,2016-01-09 23:00:00+00:00,2016-01-09 09:20:00+00:00,BLUE
2016-01-10 23:00:00+00:00,2016-01-11 23:00:00+00:00,2016-01-10 23:00:00+00:00,2016-01-10 09:20:00+00:00,WHITE
2016-01-11 23:00:00+00:00,2016-01-12 23:00:00+00:00,2016-01-11 23:00:00+00:00,2016-01-11 09:20:00+00:00,WHITE
2016-01-12 23:00:00+00:00,2016-01-13 23:00:00+00:00,2016-01-12 23:00:00+00:00,2016-01-12 09:20:00+00:00,RED
2016-01-13 23:00:00+00:00,2016-01-14 23:00:00+00:00,2016-01-13 23:00:00+00:00,2016-01-13 09:20:00+00:00,RED
2016-01-14 23:00:00+00:00,2016-01-15 23:00:00+00:00,2016-01-14 23:00:00+00:00,2016-01-14 09:20:00+00:00,RED
2016-01-15 23:00:00+00:00,2016-01-16 23:00:00+00:00,2016-01-15 23:00:00+00:00,2016-01-15 09:20:00+00:00,WHITE
2016-01-16 23:00:00+00:00,2016-01-17 23:00:00+00:00,2016-01-16 23:00:00+00:00,2016-01-16 09:20:00+00:00,BLUE
2016-01-17 23:00:00+00:00,2016-01-18 23:00:00+00:00,2016-01-17 23:00:00+00:00,2016-01-17 09:20:00+00:00,RED
2016-01-18 23:00:00+00:00,2016-01-19 23:00:00+00:00,2016-01-18 23:00:00+00:00,2016-01-18 09:20:00+00:00,RED
2016-01-19 23:00:00+00:00,2016-01-20 23:00:00+00:00,2016-01-19 23:00:00+00:00,2016-01-19 09:20:00+00:00,RED
2016-01-20 23:00:00+00:00,2016-01-21 23:00:00+00:00,2016-01-20 23:00:00+00:00,2016-01-20 09:20:00+00:00,RED
2016-01-21 23:00:00+00:00,2016-01-22 23:00:00+00:00,2016-01-21 23:00:00+00:00,2016-01-21 09:20:00+00:00,RED
2016-01-22 23:00:00+00:00,2016-01-23 23:00:00+00:00,2016-01-22 23:00:00+00:00,2016-01-22 09:20:00+00:00,WHITE
2016-01-23 23:00:00+00:00,2016-01-24 23:00:00+00:00,2016-01-23 23:00:00+00:00,2016-01-23 09:20:00+00:00,BLUE
2016-01-24 23:00:00+00:00,2016-01-25 23:00:00+00:00,2016-01-24 23:00:00+00:00,2016-01-24 09:20:00+00:00,WHITE
2016-01-25 23:00:00+00:00,2016-01-26 23:00:00+00:00,2016-01-25 23:00:00+00:00,2016-01-25 09:20:00+00:00,WHITE
2016-01-26 23:00:00+00:00,2016-01-27 23:00:00+00:00,2016-01-26 23:00:00+00:00,2016-01-26 09:20:00+00:00,BLUE
2016-01-27 23:00:00+00:00,2016-01-28 23:00:00+00:00,2016-01-27 23:00:00+00:00,2016-01-27 09:20:00+00:00,WHITE
2016-01-28 23:00:00+00:00,2016-01-29 23:00:00+00:00,2016-01-28 23:00:00+00:00,2016-01-28 09:20:00+00:00,WHITE
2016-01-29 23:00:00+00:00,2016-01-30 23:00:00+00:00,2016-01-29 23:00:00+00:00,2016-01-29 09:20:00+00:00,BLUE
2016-01-30 23:00:00+00:00,2016-01-31 23:00:00+00:00,2016-01-30 23:00:00+00:00,2016-01-30 09:20:00+00:00,BLUE
2016-01-31 23:00:00+00:00,2016-02-01 23:00:00+00:00,2016-01-31 23:00:00+00:00,2016-01-31 09:20:00+00:00,BLUE
2016-02-01 23:00:00+00:00,2016-02-02 23:00:00+00:00,2016-02-01 23:00:00+00:00,2016-02-01 09:20:00+00:00,WHITE
2016-02-02 23:00:00+00:00,2016-02-03 23:00:00+00:00,2016-02-02 23:00:00+00:00,2016-02-02 09:20:00+00:00,WHITE
